fund_code,report_date,year,quarter,AS_new,num_holdings
13369,2024-06-30,2024,2,0.9539271137026099,116
13369,2024-12-31,2024,4,0.9453249173023558,86
13369,2025-06-30,2025,2,0.9575104654795242,81
13369,2025-12-31,2025,4,0.9656224328593863,69
13370,2022-06-30,2022,2,0.9718976248976107,56
13370,2022-12-31,2022,4,0.9664847806982368,128
13370,2023-06-30,2023,2,0.9625995550909763,168
13370,2023-12-31,2023,4,0.958384151530611,221
13370,2024-06-30,2024,2,0.9539271137026099,116
13370,2024-12-31,2024,4,0.9453249173023558,86
13370,2025-06-30,2025,2,0.9575104654795242,81
13370,2025-12-31,2025,4,0.9656224328593863,69
13840,2022-06-30,2022,2,0.9613661218041581,76
13840,2022-12-31,2022,4,0.9703333333333192,74
13840,2023-06-30,2023,2,0.9783333333333188,62
13840,2023-12-31,2023,4,0.9856666666666521,70
13840,2024-06-30,2024,2,0.9863333333333186,48
13840,2024-12-31,2024,4,0.9829999999999858,60
13840,2025-06-30,2025,2,0.9813333333333192,82
13840,2025-12-31,2025,4,0.9813333333333184,91
13841,2022-06-30,2022,2,0.9613661218041581,76
13841,2022-12-31,2022,4,0.9703333333333192,74
13841,2023-06-30,2023,2,0.9783333333333188,62
13841,2023-12-31,2023,4,0.9856666666666521,70
13841,2024-06-30,2024,2,0.9863333333333186,48
13841,2024-12-31,2024,4,0.9829999999999858,60
13841,2025-06-30,2025,2,0.9813333333333192,82
13841,2025-12-31,2025,4,0.9813333333333184,91
13949,2021-06-30,2021,2,0.9899999999999857,10
13949,2021-12-31,2021,4,0.964463901689694,98
13949,2022-06-30,2022,2,0.9519713717434416,118
13949,2022-12-31,2022,4,0.942765364518524,166
13949,2023-06-30,2023,2,0.9512441632775896,198
13949,2023-12-31,2023,4,0.951779160186611,226
13949,2024-06-30,2024,2,0.9413417935702052,194
13949,2024-12-31,2024,4,0.9536524761077186,93
13949,2025-06-30,2025,2,0.9628547269198644,86
13949,2025-12-31,2025,4,0.9691628448839117,93
1407,2020-06-30,2020,2,0.9561299672744139,73
1407,2020-12-31,2020,4,0.9094497724886113,150
1407,2021-06-30,2021,2,0.9027761351636617,181
1407,2021-12-31,2021,4,0.8642460732984181,244
1407,2022-06-30,2022,2,0.8489335937499883,241
1407,2022-12-31,2022,4,0.9396666666666534,108
1407,2023-06-30,2023,2,0.9583333333333193,52
1407,2023-12-31,2023,4,0.956333333333319,53
1407,2024-06-30,2024,2,0.959999999999986,52
1407,2024-12-31,2024,4,0.9583333333333199,57
1407,2025-06-30,2025,2,0.9603333333333194,84
1407,2025-12-31,2025,4,0.9623333333333192,85
1411,2020-06-30,2020,2,0.9608831532612915,43
1411,2020-12-31,2020,4,0.683850648852023,348
1411,2021-06-30,2021,2,0.9638224326723728,81
1411,2021-12-31,2021,4,0.960991252504505,176
1411,2022-06-30,2022,2,0.9848493750805175,260
1411,2022-12-31,2022,4,0.9755191568398608,400
1411,2023-06-30,2023,2,0.9754538453194372,370
1411,2023-12-31,2023,4,0.9781553865490592,313
1411,2024-06-30,2024,2,0.978159752357796,311
1411,2024-12-31,2024,4,0.9742983032293253,343
1411,2025-06-30,2025,2,0.9781396616002186,355
1411,2025-12-31,2025,4,0.9797758726956788,385
1412,2020-06-30,2020,2,0.924197753710375,87
1412,2020-12-31,2020,4,0.9240476742687656,144
1412,2021-06-30,2021,2,0.931801318549582,128
1412,2021-12-31,2021,4,0.9503178717598775,97
1412,2022-06-30,2022,2,0.9582553302131946,89
1412,2022-12-31,2022,4,0.9655793724759109,89
1412,2023-06-30,2023,2,0.9809999999999864,65
1412,2023-12-31,2023,4,0.978666666666653,58
1412,2024-06-30,2024,2,0.9766666666666532,46
1412,2024-12-31,2024,4,0.9739999999999864,53
1412,2025-06-30,2025,2,0.9693333333333206,49
1412,2025-12-31,2025,4,0.9709999999999872,50
14282,2021-06-30,2021,2,0.9846666666666555,10
14282,2021-12-31,2021,4,0.9400920581922124,153
14282,2022-06-30,2022,2,0.9486666666666536,98
14282,2022-12-31,2022,4,0.9501300420355832,71
14282,2023-06-30,2023,2,0.9396007340497866,80
14282,2023-12-31,2023,4,0.9483333333333183,59
14282,2024-06-30,2024,2,0.9532654170062348,62
14282,2024-12-31,2024,4,0.9457305308542041,90
14282,2025-06-30,2025,2,0.9644174933254812,74
14282,2025-12-31,2025,4,0.9670089197224834,81
14319,2022-06-30,2022,2,0.970999999999986,56
14319,2022-12-31,2022,4,0.9754480635406281,79
14319,2023-06-30,2023,2,0.9627439042411564,130
14319,2023-12-31,2023,4,0.9658044166256271,177
14319,2024-06-30,2024,2,0.9681949250288219,148
14319,2024-12-31,2024,4,0.9736069182389795,78
14319,2025-06-30,2025,2,0.9736666666666528,56
14319,2025-12-31,2025,4,0.9743333333333197,52
14320,2022-06-30,2022,2,0.970999999999986,56
14320,2022-12-31,2022,4,0.9754480635406281,79
14320,2023-06-30,2023,2,0.9627439042411564,130
14320,2023-12-31,2023,4,0.9658044166256271,177
14320,2024-06-30,2024,2,0.9681949250288219,148
14320,2024-12-31,2024,4,0.9736069182389795,78
14320,2025-06-30,2025,2,0.9736666666666528,56
14320,2025-12-31,2025,4,0.9743333333333197,52
1437,2020-06-30,2020,2,0.9800372833887482,61
1437,2020-12-31,2020,4,0.9785501967110889,97
