fund_code,report_date,rc_mom,lead2,fut4q
18956,2025-10-01,-0.6703296703296703,-0.0049610598375878,
18956,2026-01-01,0.3021978021978022,0.6877332739123168,
18956,2026-04-01,-0.1090909090909091,,
18956,2026-07-01,,,
18957,2023-10-01,,0.1788705175005362,0.1598088355552919
18957,2024-01-01,,-0.0236794171220401,0.3831157604591939
18957,2024-04-01,,0.1066231343283581,0.1303465811032974
18957,2024-07-01,-0.5878787878787878,0.1213015257523397,0.4504786323677187
18957,2024-10-01,,-0.0738986618553603,1.2275196392953884
18957,2025-01-01,0.2747252747252747,0.2964526341423812,1.2882417806085986
18957,2025-04-01,,0.8836641412560278,1.3557006224414612
18957,2025-07-01,0.3333333333333332,0.1820236670655499,1.7444536150857537
18957,2025-10-01,-0.4909090909090908,-0.0064398200224978,
18957,2026-01-01,0.0494505494505494,0.6852056267866737,
18957,2026-04-01,,,
18957,2026-07-01,,,
19018,2024-01-01,,0.087719298245614,0.22617966604035883
19018,2024-04-01,,0.0841325196163902,0.20919482816204382
19018,2024-07-01,,0.0623240852432647,0.2247363994816471
19018,2024-10-01,,-0.0249810749432251,0.9893019797948839
19018,2025-01-01,0.244839977457157,0.1032608695652173,0.9677087662684054
19018,2025-04-01,,0.848698099929627,1.0049429502094354
19018,2025-07-01,0.0078229614684382,0.0407308717167862,1.8595863263533403
19018,2025-10-01,,0.0122531089978048,
19018,2026-01-01,0.1121291143809478,0.9579042457091222,
19018,2026-04-01,-0.2969696969696969,,
19018,2026-07-01,,,
19032,2024-01-01,,0.0120590895387402,0.0780970802143221
19032,2024-04-01,,0.0807268394399771,-0.0031044490681275873
19032,2024-07-01,,-0.0829658213891954,-0.05474940949602729
19032,2024-10-01,,-0.0129245566576495,0.31030688359411607
19032,2025-01-01,,-0.0395858708891595,0.4882288453341891
19032,2025-04-01,,0.4457831325301205,0.6613777160314941
19032,2025-07-01,,0.0949561403508776,1.321022278444907
19032,2025-10-01,,0.1602243140396555,
19032,2026-01-01,-0.1748251748251748,0.6200586915242534,
