fund_code,year,quarter,anchor_high,cgo
519035,2010,3,0.56835811664398,-0.10336011336454037
519035,2010,4,0.6582413192246683,0.14226144605626556
519035,2011,1,,
519035,2011,2,0.6422905800983778,0.052147321307818795
519035,2011,3,0.6737497224968287,-0.17919778520233595
519035,2011,4,0.5456189682831902,-0.0339424791022574
519035,2012,1,0.6176559204579694,0.13191920121474277
519035,2012,2,0.7295618555634035,0.21923521031780863
519035,2012,3,0.5567679118452449,-0.0387653371189932
519035,2012,4,0.8502450452490181,0.3371412260510241
519035,2013,1,0.6519399542544356,-4.4848314610016914e-05
519035,2013,2,0.7283795402744181,0.09440366114020082
519035,2013,3,0.6734464890175775,-0.03267030031607466
519035,2013,4,0.6518599058641005,-0.12254294220558758
519035,2014,1,0.5713081514876066,-0.19259606691331133
519035,2014,2,0.4765045863106275,-0.3038475044890514
519035,2014,3,0.41117430578788944,-0.2701539070619093
519035,2014,4,0.8681912558583768,0.4567394225773593
519035,2015,1,1.0,0.8389806211662811
519035,2015,2,0.8877769475295516,0.43595911515989194
519035,2015,3,0.4028282120937626,-0.1405723703652545
519035,2015,4,0.7117774987197856,0.33809145243163374
519035,2016,1,0.52920486440236,-0.17174135358234988
519035,2016,2,,0.1588509149543702
519035,2016,3,0.9549078692342291,0.1426558399545923
